Time[s],Speed[m/s],X[m],Z[m]
0.0,0.02309736713963844,8.084722821598342,-33.970050089839
0.3956506252288818,0.07253814584748099,8.27313769684986,-33.714301759101396
1.018431425094604,0.1533062120629788,8.461552926996422,-33.792138207494496
1.977571964263916,0.274048136578495,8.521503052506407,-33.65870429555928
2.980365753173828,0.3762222987375949,8.375911058705233,-35.059760371586314
3.755996942520142,0.4251501263726105,8.367346950056403,-35.25991123948913
3.979457855224609,0.4332023543834034,8.059031628327304,-35.67133246772025
4.988033771514893,0.4323487140019652,7.767845096948406,-36.249546085870385
5.980502843856812,0.3744788025691139,7.767845366387161,-36.516413909740805
6.987845897674561,0.2747665837674619,7.605123257964878,-36.638728329250526
7.979658365249634,0.1688386319128154,7.485222709457775,-36.68320630036715
8.983466386795044,0.09929334110708567,7.262550389883549,-36.905596153120946
10.02453327178955,0.1214389464433635,7.125521477848207,-37.272539411650094
10.98160815238953,0.2695638560836668,6.9114131704508335,-37.17246397769869
11.98503255844116,0.5850806902642368,7.091263988198384,-37.08350803617277
13.00397658348083,1.077892210467857,7.87918268762743,-37.55052672794601
14.00377702713013,1.706598727498321,8.735617280080284,-39.04053874479163
15.00228714942932,2.428990588041714,10.525564793187815,-40.797418586214995
16.01296186447144,3.189987383075587,12.521057840971386,-42.97683914829498
17.00658679008484,3.898527663007806,14.782047698756756,-45.790070792067205
18.03649663925171,4.527689577303172,17.428436080782316,-49.270471996930134
19.07118940353394,5.006792336503858,19.218395374694477,-53.99625637891192
20.08991050720215,5.30897115696237,21.18820922082076,-59.06674503386456
20.98455667495728,5.437993876697944,23.149460970017945,-64.02603876173296
22.04315567016602,5.444925489353844,25.316260349933717,-69.09652741668559
23.07559180259705,5.327743806340882,28.031178523778465,-73.14402274656584
24.06459879875183,5.129780780438392,30.720407544102752,-77.46950539344932
25.03413414955139,4.882614698188459,33.09275792792527,-81.87282448801858
26.1021454334259,4.587111631355135,35.54219052694044,-86.28726307642798
27.0277099609375,4.350090754619892,38.15434583889318,-90.00117362576287
28.09171795845032,4.154790314416376,41.417390185833895,-92.36962556332018
29.05532097816467,4.102235544665898,45.87088950846019,-95.13837923739044
30.00193667411804,4.207779327406612,50.48710746571164,-96.67286922464535
31.04845476150513,4.533742938323841,55.24034339780986,-96.22808951843042
32.02293801307678,5.0285873499095,59.496836542803344,-94.82703344311072
33.01941299438477,5.684118517370698,64.43846965574929,-92.25843063694327
34.04313397407532,6.43953922903892,70.75039444326919,-88.93370233028119
35.04483509063721,7.169317441888535,78.03865428341967,-85.69792996514502
36.04807567596436,7.807175112827653,85.34403046135665,-81.8950634735769
37.02408909797668,8.281066615268386,92.7350387355688,-77.72525372489424
38.02709054946899,8.589761441709236,99.4494506787513,-73.31081513719218
39.02320551872253,8.721288548517787,106.79761336828598,-68.57391126207757
40.00324940681458,8.707206512013625,114.32562514308971,-64.28178709388521
41.00929689407349,8.585424550052052,122.15338302690492,-60.123096836920745
42.01331472396851,8.399744249021435,129.57859715908342,-55.31947600583853
43.0316219329834,8.185258069512546,134.56292913262587,-48.514346495020845
44.03643798828125,7.97420498951672,137.19203952115373,-40.530550762344575
45.0076904296875,7.781210668583648,136.96922652859845,-32.64683046291239
46.02705502510071,7.586824983422424,134.86227273382252,-25.219009362827947
47.04175329208374,7.387164110361529,131.44500075176012,-18.76970361811392
48.02562832832336,7.169627354982599,127.10279110072611,-12.38711482795285
48.99898338317871,6.916435859546262,123.00039723809934,-6.527142194521773
49.99241471290588,6.612077208291235,119.03504838210162,-1.3232196276339314
51.03972244262695,6.246141253451478,115.45510179196587,3.602715622957997
52.0680251121521,5.859845305618089,112.3290663427183,8.539770365975418
53.06206464767456,5.485614178915414,109.13452340865486,13.287793733515517
54.04690432548523,5.13836748607659,106.13696731610071,17.6911128287921
54.98808145523071,4.845354172700589,103.18224745160735,21.23823098962263
56.01568984985352,4.578238908659328,100.70712302735645,25.23012885525344
56.99859237670898,4.373011424464946,98.27482727512334,28.843963971344255
58.00748753547668,4.203687174948449,95.73120255592802,32.135333800022536
59.01666474342346,4.061622640724306,92.63947391247304,34.94856544450209
60.03019332885742,3.931567581097783,90.36134886297305,37.928589478900655
61.01031756401062,3.807170693873203,87.80060776048711,40.71958213711457
62.02608275413513,3.674180268509327,85.00007240925272,43.2770654501492
62.82499670982361,3.566734973058274,84.03230562586924,43.988712980234546
63.00889420509338,3.541867068871436,82.51642543932932,44.92275036378102
64.0403163433075,3.403919061693844,79.0393318835899,46.21261151343114
65.08650946617126,3.271879918577995,75.06552637985716,46.223731005856635
66.13281464576721,3.154143636037751,71.63127736762497,45.20073768078425
67.01498627662659,3.069048262408995,68.86504079437898,43.86639856143215
68.04765963554382,2.987603248012158,66.02172949332436,42.02056277848287
69.00821900367737,2.929756663686392,63.37538808453469,40.941971990575695
70.00390148162842,2.887444318350104,60.75474261363428,39.36300403149684
71.00297498703003,2.86068444757636,58.30538678496337,37.01679107949785
72.00208783149719,2.844105891165179,56.19859030958377,35.915961306032365
73.00317120552063,2.827801188660536,53.697834620207864,35.27103073191462
74.00595498085022,2.797765087289672,50.93157774904121,35.99379775442546
75.00681018829346,2.738415038658521,48.533576554371486,37.89523100020953
76.02623105049133,2.633747110652695,46.78645914143074,39.77442526043529
77.04026007652283,2.477649954636979,45.784433057692084,41.39787118921612
77.99115180969238,2.285136015292088,44.748147075846575,43.59953073756173
78.98964929580688,2.044155168366641,43.76324824294807,45.601039416589884
79.99137926101685,1.778662534026635,42.95819915092624,47.54695063278325
80.98379516601562,1.51202172263532,42.7954747415312,48.25859816357592
81.98713803291321,1.260267274255003,42.70126403800368,49.00360417235239
82.995041847229,1.04881890063018,42.06750133663241,50.73824502751012
83.98469519615173,0.9085876511541966,41.425177086223854,52.02810617645292
84.98353552818298,0.8675202300789974,40.928445280358865,53.25125037013545
85.9878523349762,0.964326995245109,40.63725618651392,54.26312420207502
87.03827953338623,1.247476692488744,40.21760349295213,55.330595498264024
88.04721641540527,1.707829174154522,39.67805045472262,56.65381512519063
88.42799687385559,1.927307043711884,39.55815034489081,56.84284650066795
88.98804450035095,2.289906362893948,37.98232331494965,58.833235687270616
89.97748494148254,3.018763702278407,35.58432631915133,62.05788856068861
90.98603367805481,3.813842043201521,32.835197541071864,65.5160507792859
91.98772072792053,4.568052984325825,29.409498907940097,68.8963765494901
93.05473375320435,5.233218571622201,22.832176322852575,71.89863956803234
94.05179858207703,5.651214683897261,17.976261164560366,76.04621033186399
94.99974584579468,5.829611456041405,13.051838602012868,79.63780646310381
96.0008270740509,5.787388229139501,7.579312765846366,82.64006948164604
96.9965147972107,5.554248741908213,2.0382778748527066,84.85284852241715
97.99152135848999,5.208398540375835,-2.3894094531562593,85.89808083234051
99.01229333877563,4.833846812022362,-8.572756239085749,85.48665960410939
99.99515390396118,4.539242787508378,-12.717826071520921,84.95292395636855
